,Items,Origin,Items grouped,Category,Unit,amount,District,VDC,Village/Ward/extra info,lat,lon,District Latitude,District Longitude,Date,Location name,type
0,Noodles,,Noodles,Food - Dry Food,box,5.0,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.667340000000003,85.41673,2015-04-29,"Nankhel, Maligaun",list
1,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,1.0,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.667340000000003,85.41673,2015-04-29,"Nankhel, Maligaun",list
2,Piyush,,Piyush,Sanitation - Water purification,bottle,1.0,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.667340000000003,85.41673,2015-04-29,"Nankhel, Maligaun",list
3,Tarp,,Tarp,Shelter,unit,8.0,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.667340000000003,85.41673,2015-04-29,"Nankhel, Maligaun",list
4,Tarp,,Tarp,Shelter,unit,5.0,Kabhre Palanchok,BanepaN.P.,Aashapuri,27.633000000000003,85.5302,27.58333,85.66667,2015-04-29,"BanepaN.P., Aashapuri",list
5,Tarp,,Tarp,Shelter,unit,4.0,Bhaktapur,Sipadol,Soche,27.647140000000004,85.43796999999999,27.667340000000003,85.41673,2015-04-29,"Sipadol, Soche",list
6,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,20.0,Bhaktapur,Bhaktapur,Durlang,27.667340000000003,85.41673,27.667340000000003,85.41673,2015-04-29,"Bhaktapur, Durlang",list
7,Tarp,,Tarp,Shelter,unit,20.0,Bhaktapur,BhaktapurN.P.,Durlang,27.6748,85.4319,27.667340000000003,85.41673,2015-04-29,"BhaktapurN.P., Durlang",list
8,Medical Kit,,Medical Kit,Medicine,unit,1.0,Bhaktapur,Sipadol,Naichal,27.647140000000004,85.43796999999999,27.667340000000003,85.41673,2015-04-29,"Sipadol, Naichal",list
9,Tarp,,Tarp,Shelter,unit,7.0,Bhaktapur,Sipadol,Naichal,27.647140000000004,85.43796999999999,27.667340000000003,85.41673,2015-04-29,"Sipadol, Naichal",list
10,Tarp,,Tarp,Shelter,unit,20.0,Bhaktapur,BhaktapurN.P.,Durlang,27.6748,85.4319,27.667340000000003,85.41673,2015-04-30,"BhaktapurN.P., Durlang",list
11,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,2.0,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,2015-04-30,"Bukhel, and also Choughare VDC",list
12,Biscuits,,Biscuits,Food - Dry Food,box,1.0,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,2015-04-30,"Bukhel, and also Choughare VDC",list
13,Noodles,,Noodles,Food - Dry Food,box,1.0,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,2015-04-30,"Bukhel, and also Choughare VDC",list
14,Rice,,Rice,Food - Dry Food,sack,1.0,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,2015-04-30,"Bukhel, and also Choughare VDC",list
15,Medicine - drug,,Medicine - drug,Medicine,tabs,1.0,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,2015-04-30,"Bukhel, and also Choughare VDC",list
16,Tarp,,Tarp,Shelter,unit,21.0,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,2015-04-30,"Bukhel, and also Choughare VDC",list
17,Diapers,,Medicine - supplies,Sanitation - supplies,box,2.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-04-30,"BhaktapurN.P., ",list
18,Mosquito Coils,,Medicine - supplies,Sanitation - supplies,pack,15.0,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.667340000000003,85.41673,2015-04-30,"BhaktapurN.P., ",list
