Items,Origin,Items grouped,Item group filter,Category,Unit,amount,"FSC - KGs (sack=25, pack=1, box=4.5)",FSC - Total KGs,Mission,District,VDC,Village/Ward/extra info,VDC Latitude,VDC Longitude,District Latitude,District Longitude,Date
,,Noodles,,Food - Dry Food,box,5,4.5,22.5,MISSION 29/4 *01,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.66734,85.41673,29-Apr-15
,,Medicine - rehydration,,Medicine,unit,1,Undefined,#VALUE!,MISSION 29/4 *01,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.66734,85.41673,29-Apr-15
,,Piyush,,Sanitation - Water purification,bottle,1,Undefined,#VALUE!,MISSION 29/4 *01,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.66734,85.41673,29-Apr-15
,,Tarp,,Shelter,unit,8,Undefined,#VALUE!,MISSION 29/4 *01,Bhaktapur,Nankhel,Maligaun,27.6422,85.4598,27.66734,85.41673,29-Apr-15
,,Tarp,,Shelter,unit,5,Undefined,#VALUE!,MISSION 29/4 *02,Kabhre Palanchok,BanepaN.P.,Aashapuri,27.633,85.5302,27.58333,85.66667,29-Apr-15
,,Tarp,,Shelter,unit,4,Undefined,#VALUE!,MISSION 29/4 *03,Bhaktapur,Sipadol,Soche,27.64714,85.43797,27.66734,85.41673,29-Apr-15
,,Medicine - rehydration,,Medicine,unit,20,Undefined,#VALUE!,MISSION 29/4 *04,Bhaktapur,Bhaktapur,Durlang,27.66734,85.41673,27.66734,85.41673,29-Apr-15
,,Tarp,,Shelter,unit,20,Undefined,#VALUE!,MISSION 29/4 *04,Bhaktapur,BhaktapurN.P.,Durlang,27.6748,85.4319,27.66734,85.41673,29-Apr-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 29/4 *05,Bhaktapur,Sipadol,Naichal,27.64714,85.43797,27.66734,85.41673,29-Apr-15
,,Tarp,,Shelter,unit,7,Undefined,#VALUE!,MISSION 29/4 *05,Bhaktapur,Sipadol,Naichal,27.64714,85.43797,27.66734,85.41673,29-Apr-15
,,Tarp,,Shelter,unit,20,Undefined,#VALUE!,MISSION 30/4 *01,Bhaktapur,BhaktapurN.P.,Durlang,27.6748,85.4319,27.66734,85.41673,30-Apr-15
,,Beaten Rice,,Food - Dry Food,sack,2,25,50,MISSION 30/4 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,30-Apr-15
,,Biscuits,,Food - Dry Food,box,1,4.5,4.5,MISSION 30/4 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,30-Apr-15
,,Noodles,,Food - Dry Food,box,1,4.5,4.5,MISSION 30/4 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,30-Apr-15
,,Rice,,Food - Dry Food,sack,1,25,25,MISSION 30/4 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,30-Apr-15
,,Medicine - drug,,Medicine,tabs,1,Undefined,#VALUE!,MISSION 30/4 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,30-Apr-15
,,Tarp,,Shelter,unit,21,Undefined,#VALUE!,MISSION 30/4 *02,Lalitpur,Bukhel,and also Choughare VDC,27.4958,85.3634,27.58333,85.33333,30-Apr-15
Diapers,,Medicine - supplies,10,Sanitation - supplies,box,2,Undefined,#VALUE!,MISSION 30/4 nosheet 01,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,30-Apr-15
Mosquito Coils,,Medicine - supplies,22,Sanitation - supplies,pack,15,Undefined,#VALUE!,MISSION 30/4 nosheet 01,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,30-Apr-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,3,Undefined,#VALUE!,MISSION 30/4 nosheet 01,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,30-Apr-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,3,Undefined,#VALUE!,MISSION 30/4 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,30-Apr-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,30,Undefined,#VALUE!,MISSION 30/4 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,30-Apr-15
Biscuits,,Biscuits,1,Food - Dry Food,box,24,4.5,108,MISSION 30/4 nosheet 03,Kathmandu District,KathmanduN.P.,Chamati,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Fruit based energy drinks,,Juice,1,Food - Drinks,box,1,Undefined,#VALUE!,MISSION 30/4 nosheet 03,Kathmandu District,KathmanduN.P.,Chamati,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Water,,Water,1,Food - Drinks,bottle,11,Undefined,#VALUE!,MISSION 30/4 nosheet 03,Kathmandu District,KathmanduN.P.,Chamati,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,13,Undefined,#VALUE!,MISSION 30/4 nosheet 04,Kabhre Palanchok,Kabhre Palanchok,,27.58333,85.66667,27.58333,85.66667,30-Apr-15
Tent set,,Tarp,12,Shelter,unit,1,Undefined,#VALUE!,MISSION 30/4 nosheet 04,Kabhre Palanchok,Kabhre Palanchok,,27.58333,85.66667,27.58333,85.66667,30-Apr-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,4,Undefined,#VALUE!,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Beaten rice,,Beaten Rice,1,Food - Dry Food,sack,1,25,25,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Betadine,,Medicine - drug,14,Medicine,bottle,1,Undefined,#VALUE!,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,50,Undefined,#VALUE!,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,400,Undefined,#VALUE!,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Metronidazole syrup,,Medicine - drug,44,Medicine,bottle,10,Undefined,#VALUE!,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Noodles,,Noodles,1,Food - Dry Food,box,2,4.5,9,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,10,Undefined,#VALUE!,MISSION 30/4 nosheet 05,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,30-Apr-15
Formula milk,,Formula milk,1,Sanitation - Children supplies,box,8,Undefined,#VALUE!,MISSION 30/4 nosheet 06,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Milk feeding bottles,,Milk feeding bottles,1,Sanitation - Children supplies,bottle,7,Undefined,#VALUE!,MISSION 30/4 nosheet 06,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Rope,,Rope,2,Shelter,unit,10,Undefined,#VALUE!,MISSION 30/4 nosheet 07,Kathmandu District,KathmanduN.P.,Brikutimandap,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Tarp (leftover),,Tarp,2,Shelter,unit,10,Undefined,#VALUE!,MISSION 30/4 nosheet 07,Kathmandu District,KathmanduN.P.,Brikutimandap,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Electrobin,,Medicine - rehydration,1,Medicine,unit,30,Undefined,#VALUE!,MISSION 30/4 nosheet 08,Kathmandu District,KathmanduN.P.,Maligoan,27.70731,85.32218,27.70704,85.33218,30-Apr-15
Glucose - D,,Medicine - drug,31,Medicine,bottle,5,Undefined,#VALUE!,MISSION 30/4 nosheet 09,Kathmandu District,Baluwa,Tokha,27.76767,85.39192,27.70704,85.33218,30-Apr-15
Metronidazole syrup,,Medicine - drug,44,Medicine,bottle,6,Undefined,#VALUE!,MISSION 30/4 nosheet 09,Kathmandu District,Baluwa,Tokha,27.76767,85.39192,27.70704,85.33218,30-Apr-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 30/4 nosheet 09,Kathmandu District,Baluwa,Tokha,27.76767,85.39192,27.70704,85.33218,30-Apr-15
Acenac (muscular pains),,Medicine - drug,6,Medicine,tabs,50,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Adhesive tape,,Medicine - supplies,2,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Azifast (amoxil),,Medicine - drug,10,Medicine,tabs,30,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,32,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Betadine,,Medicine - drug,14,Medicine,bottle,3,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Brufen,,Medicine - drug,16,Medicine,bottle,20,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Decold,,Medicine - drug,23,Medicine,tabs,40,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Dettol soaps,,Medicine - supplies,9,Sanitation - supplies,unit,37,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Electrobin,,Medicine - rehydration,1,Medicine,unit,24,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Flexon,,Medicine - drug,30,Medicine,unit,6,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
hand sanitizer,,Medicine - supplies,20,Sanitation - supplies,bottle,1,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Handiplast,,Medicine - supplies,21,Sanitation - supplies,unit,5,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
Imodium,,Medicine - drug,36,Medicine,tabs,20,Undefined,#VALUE!,MISSION 30/4 nosheet 10,Lalitpur,Bhardev,Bhardeudeldanda,27.5493,85.3846,27.58333,85.33333,30-Apr-15
